datetime,Frequency,HTS_num,HTS_len,LTS_short_len,LTS_long_len,HTS_total
2026-05-09 14:29:17,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-09 14:40:20,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-09 15:53:30,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-09 21:29:50,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-09 21:59:04,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-09 22:04:19,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-09 22:13:00,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-09 22:18:46,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-09 22:34:00,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-09 22:38:51,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-09 22:43:39,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-10 09:25:45,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-10 12:58:05,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-10 13:06:58,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-10 13:18:46,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-10 13:34:45,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-10 13:47:16,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-10 13:57:25,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-11 20:04:41,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-11 22:30:49,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-12 14:47:21,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-12 14:53:08,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-12 15:24:21,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-12 15:39:30,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-12 15:52:08,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-12 16:06:19,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-12 16:40:16,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-20 18:49:57,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-27 11:01:39,5.0,7.0,0.5,5.0,1.0,3.5
